"REF_DATE","GEO","DGUID","Age group","Sex","Primary types of cancer (ICD-O-3)","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2003","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43788260","1.1.1.22.2","67.0","","","","1"
"2004","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43788260","1.1.1.22.2","68.4","","","","1"
"2005","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43788260","1.1.1.22.2","69.5","","","","1"
"2006","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43788260","1.1.1.22.2","70.0","","","","1"
"2007","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43788260","1.1.1.22.2","71.2","","","","1"
"2008","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43788260","1.1.1.22.2","71.8","","","","1"
"2009","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43788260","1.1.1.22.2","72.5","","","","1"
"2010","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43788260","1.1.1.22.2","76.3","","","","1"
"2011","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43788260","1.1.1.22.2","75.9","","","","1"
"2012","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43788260","1.1.1.22.2","78.8","","","","1"
"2013","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43788260","1.1.1.22.2","75.6","","","","1"
"2014","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43788260","1.1.1.22.2","79.4","","","","1"
"2015","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43788260","1.1.1.22.2","78.2","","","","1"
"2016","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43788260","1.1.1.22.2","78.1","","","","1"
"2017","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43788260","1.1.1.22.2","80.5","","","","1"
"2018","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43788260","1.1.1.22.2","","..","","","1"
"2019","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43788260","1.1.1.22.2","","..","","","1"
"2020","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43788260","1.1.1.22.2","","..","","","1"
"1997","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v120593885","15.1.1.22.1","12960","","","","0"
"1998","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v120593885","15.1.1.22.1","13585","","","","0"
"1999","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v120593885","15.1.1.22.1","13790","","","","0"
"2000","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v120593885","15.1.1.22.1","13805","","","","0"
"2001","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v120593885","15.1.1.22.1","14035","","","","0"
"2002","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v120593885","15.1.1.22.1","14175","","","","0"
"2003","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v120593885","15.1.1.22.1","14295","","","","0"
"2004","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v120593885","15.1.1.22.1","14775","","","","0"
"2005","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v120593885","15.1.1.22.1","15360","","","","0"
"2006","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v120593885","15.1.1.22.1","15630","","","","0"
"2007","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v120593885","15.1.1.22.1","16040","","","","0"
"2008","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v120593885","15.1.1.22.1","16150","","","","0"
"2009","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v120593885","15.1.1.22.1","16650","","","","0"
"2010","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v120593885","15.1.1.22.1","17365","","","","0"
"2011","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v120593885","15.1.1.22.1","17375","","","","0"
"2012","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v120593885","15.1.1.22.1","18320","","","","0"
"2013","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v120593885","15.1.1.22.1","18290","","","","0"
"2014","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v120593885","15.1.1.22.1","19135","","","","0"
"2015","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v120593885","15.1.1.22.1","18995","","","","0"
"2016","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v120593885","15.1.1.22.1","19040","","","","0"
"2017","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v120593885","15.1.1.22.1","19830","","","","0"
"2018","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v120593885","15.1.1.22.1","19835","","","","0"
"2019","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v120593885","15.1.1.22.1","","..","","","0"
"2020","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v120593885","15.1.1.22.1","","..","","","0"
"1997","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v120593886","15.1.1.22.2","57.3","","","","1"
"1998","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v120593886","15.1.1.22.2","59.4","","","","1"
"1999","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v120593886","15.1.1.22.2","59.8","","","","1"
"2000","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v120593886","15.1.1.22.2","59.2","","","","1"
"2001","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v120593886","15.1.1.22.2","59.4","","","","1"
"2002","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v120593886","15.1.1.22.2","59.3","","","","1"
"2003","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v120593886","15.1.1.22.2","59.2","","","","1"
"2004","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v120593886","15.1.1.22.2","60.5","","","","1"
"2005","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v120593886","15.1.1.22.2","62.3","","","","1"
"2006","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v120593886","15.1.1.22.2","62.7","","","","1"
"2007","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v120593886","15.1.1.22.2","63.7","","","","1"
"2008","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v120593886","15.1.1.22.2","63.4","","","","1"
"2009","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v120593886","15.1.1.22.2","64.6","","","","1"
"2010","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v120593886","15.1.1.22.2","66.6","","","","1"
"2011","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v120593886","15.1.1.22.2","66.0","","","","1"
"2012","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v120593886","15.1.1.22.2","68.7","","","","1"
"2013","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v120593886","15.1.1.22.2","67.8","","","","1"
"2014","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v120593886","15.1.1.22.2","70.1","","","","1"
"2015","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v120593886","15.1.1.22.2","69.0","","","","1"
"2016","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v120593886","15.1.1.22.2","68.3","","","","1"
"2017","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v120593886","15.1.1.22.2","70.2","","","","1"
"2018","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v120593886","15.1.1.22.2","69.2","","","","1"
"2019","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v120593886","15.1.1.22.2","","..","","","1"
"2020","Canada (excluding Quebec)","","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v120593886","15.1.1.22.2","","..","","","1"
"1997","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43801459","2.1.1.22.1","240","","","","0"
"1998","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43801459","2.1.1.22.1","225","","","","0"
"1999","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43801459","2.1.1.22.1","235","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43801459","2.1.1.22.1","270","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43801459","2.1.1.22.1","255","","","","0"
"2002","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43801459","2.1.1.22.1","245","","","","0"
"2003","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43801459","2.1.1.22.1","265","","","","0"
"2004","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43801459","2.1.1.22.1","265","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43801459","2.1.1.22.1","305","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43801459","2.1.1.22.1","405","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43801459","2.1.1.22.1","380","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43801459","2.1.1.22.1","385","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43801459","2.1.1.22.1","445","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43801459","2.1.1.22.1","430","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43801459","2.1.1.22.1","410","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43801459","2.1.1.22.1","440","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43801459","2.1.1.22.1","460","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43801459","2.1.1.22.1","510","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43801459","2.1.1.22.1","470","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43801459","2.1.1.22.1","490","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43801459","2.1.1.22.1","495","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43801459","2.1.1.22.1","535","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43801459","2.1.1.22.1","545","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43801459","2.1.1.22.1","495","","","","0"
"1997","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43801460","2.1.1.22.2","43.6","","","","1"
"1998","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43801460","2.1.1.22.2","41.7","","","","1"
"1999","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43801460","2.1.1.22.2","44.1","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43801460","2.1.1.22.2","51.1","","","","1"
"2001","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43801460","2.1.1.22.2","48.8","","","","1"
"2002","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43801460","2.1.1.22.2","47.2","","","","1"
"2003","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43801460","2.1.1.22.2","51.1","","","","1"
"2004","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43801460","2.1.1.22.2","51.2","","","","1"
"2005","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43801460","2.1.1.22.2","59.3","","","","1"
"2006","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43801460","2.1.1.22.2","79.3","","","","1"
"2007","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43801460","2.1.1.22.2","74.6","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43801460","2.1.1.22.2","75.3","","","","1"
"2009","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43801460","2.1.1.22.2","86.1","","","","1"
"2010","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43801460","2.1.1.22.2","82.4","","","","1"
"2011","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43801460","2.1.1.22.2","78.1","","","","1"
"2012","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43801460","2.1.1.22.2","83.6","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43801460","2.1.1.22.2","87.3","","","","1"
"2014","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43801460","2.1.1.22.2","96.6","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43801460","2.1.1.22.2","89.0","","","","1"
